timestamp,host,process_name,process_create_count,file_create_count,file_delete_count,file_rename_like,network_connections,registry_events,module_loads,unsigned_process_events,suspicious_extension_events,shadow_copy_events,event_count,label
2024-10-16 16:40:00,NT AUTHORITY\NETWORK SERVICE,,1,6,0,0,0,5,2,0,0,0,17,0
2024-10-16 16:40:00,NT AUTHORITY\LOCAL SERVICE,,16,10,0,0,0,17,1,0,0,0,47,0
2024-10-16 16:40:00,NT AUTHORITY\SYSTEM,,14,35,4,0,2,37,19,0,0,0,123,0
2024-10-16 16:40:00,-\-,,0,0,0,0,0,0,0,0,0,0,8,0
2024-10-16 16:45:00,NT AUTHORITY\SYSTEM,,21,494,4301,0,1,784,44,0,0,0,5653,0
2024-10-16 16:45:00,NT AUTHORITY\NETWORK SERVICE,,0,12,0,0,4,0,5,0,0,0,24,0
2024-10-16 16:45:00,NT AUTHORITY\LOCAL SERVICE,,3,19,1,0,0,441,4,0,0,0,468,0
2024-10-16 16:45:00,-\-,,0,0,0,0,0,0,0,0,0,0,20,0
2024-10-16 16:45:00,WINDEV2407EVAL\User,,18,7,28,0,0,22,121,0,0,0,221,0
2024-10-16 16:45:00,WINDEV2407EVAL\End-user,,24,11,30,0,3,69,152,4,0,0,336,0
2024-10-16 16:50:00,WINDEV2407EVAL\End-user,,20,7852,11,0,46,24,208,12,0,0,8466,0
2024-10-16 16:50:00,WINDEV2407EVAL\User,,12,0,1,0,0,13,9,0,0,0,56,0
2024-10-16 16:50:00,NT AUTHORITY\SYSTEM,,2,2,2,0,1,5,5,0,0,0,20,0
2024-10-16 16:50:00,NT AUTHORITY\LOCAL SERVICE,,3,0,0,0,0,0,0,0,0,0,3,0
2024-10-16 16:50:00,-\-,,0,0,0,0,0,0,0,0,0,0,8,0
2024-10-16 16:50:00,NT AUTHORITY\NETWORK SERVICE,,2,0,0,0,0,0,4,0,0,0,6,0
2024-10-16 16:55:00,NT AUTHORITY\SYSTEM,,0,9,0,0,1,0,7,0,0,0,18,0
2024-10-16 16:55:00,WINDEV2407EVAL\End-user,,6,14618,10,0,1,11,191,93,0,0,15237,0
2024-10-16 16:55:00,-\-,,0,0,0,0,0,0,0,0,0,0,6,0
2024-10-16 17:00:00,WINDEV2407EVAL\End-user,,3,164,14,0,11,4,94,67,0,0,345,0
2024-10-16 17:00:00,NT AUTHORITY\SYSTEM,,1,5,3,0,1,8,5,0,0,0,23,0
2024-10-16 17:00:00,-\-,,0,0,0,0,0,0,0,0,0,0,12,0
2024-10-16 17:00:00,WINDEV2407EVAL\User,,0,0,4,0,0,0,0,0,0,0,4,0
2024-10-16 17:00:00,NT AUTHORITY\NETWORK SERVICE,,0,0,0,0,4,0,1,0,0,0,5,0
2024-10-16 17:05:00,WINDEV2407EVAL\End-user,,1,2,7,0,0,2,3,2,0,0,20,0
2024-10-16 17:05:00,-\-,,0,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:20:00,NT AUTHORITY\SYSTEM,,30,48,2,0,1,520,41,0,0,0,658,0
2024-10-17 12:20:00,-\-,,0,0,0,0,0,0,0,0,0,0,11,0
2024-10-17 12:20:00,NT AUTHORITY\NETWORK SERVICE,,1,8,0,0,0,3,3,0,0,0,18,0
2024-10-17 12:20:00,NT AUTHORITY\LOCAL SERVICE,,19,13,2,0,0,18,3,0,0,0,58,0
2024-10-17 12:20:00,WINDEV2407EVAL\User,,17,8,14,0,0,21,100,0,0,0,184,0
2024-10-17 12:25:00,NT AUTHORITY\SYSTEM,,8,95,77,0,1,365,19,0,0,0,567,0
2024-10-17 12:25:00,NT AUTHORITY\LOCAL SERVICE,,4,20,0,0,0,93,3,0,0,0,120,0
2024-10-17 12:25:00,WINDEV2407EVAL\User,,11,9,4,0,0,14,8,0,0,0,66,0
2024-10-17 12:25:00,NT AUTHORITY\NETWORK SERVICE,,1,9,0,0,6,0,6,0,0,0,24,0
2024-10-17 12:25:00,WINDEV2407EVAL\End-user,,20,21,27,0,0,64,123,3,0,0,295,0
2024-10-17 12:25:00,-\-,,0,0,0,0,0,0,0,0,0,0,11,0
2024-10-17 12:30:00,WINDEV2407EVAL\End-user,,15,79423,7,0,0,22,128,17,0,0,79792,0
2024-10-17 12:30:00,NT AUTHORITY\SYSTEM,,1,13,6,0,0,6,9,0,0,0,36,0
2024-10-17 12:30:00,NT AUTHORITY\LOCAL SERVICE,,2,0,0,0,0,0,1,0,0,0,3,0
2024-10-17 12:30:00,-\-,,0,0,0,0,0,0,0,0,0,0,3,0
2024-10-17 12:30:00,WINDEV2407EVAL\User,,0,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:30:00,NT AUTHORITY\NETWORK SERVICE,,1,4,0,0,0,0,1,0,0,0,6,0
2024-10-17 12:30:00,End-user\C:\Users\End-user\anaconda3\_conda.exe,,0,1335,99,0,0,1,52,0,0,0,1591,0
2024-10-17 12:30:00,SYSTEM\C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24080.9-0\MsMpEng.exe,,0,0,8,0,0,1,0,0,0,0,9,0
2024-10-17 12:30:00,SYSTEM\C:\Windows\system32\services.exe,,0,0,0,0,0,9,0,0,0,0,9,0
2024-10-17 12:30:00,SYSTEM\C:\Windows\system32\MpSigStub.exe,,0,0,2,0,0,0,0,0,0,0,2,0
2024-10-17 12:30:00,SYSTEM\C:\Windows\system32\svchost.exe,,0,4,4,0,0,0,0,0,0,0,8,0
2024-10-17 12:30:00,End-user\C:\Users\End-user\Downloads\Anaconda3-2024.06-1-Windows-x86_64.exe,,0,2,0,0,0,0,1,0,0,0,3,0
2024-10-17 12:30:00,SYSTEM\C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24080.9-0\MpDefenderCoreService.exe,,0,0,0,0,1,0,0,0,0,0,1,0
2024-10-17 12:30:00,End-user\C:\Windows\System32\cmd.exe,,1,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:30:00,End-user\C:\Windows\system32\cmd.exe,,0,0,0,0,0,1,0,0,0,0,1,0
2024-10-17 12:30:00,SYSTEM\C:\Windows\System32\svchost.exe,,0,0,0,0,0,6,0,0,0,0,6,0
2024-10-17 12:30:00,User\C:\Program Files (x86)\Microsoft\EdgeWebView\Application\129.0.2792.89\msedgewebview2.exe,,0,0,2,0,0,0,0,0,0,0,2,0
2024-10-17 12:35:00,End-user\C:\Users\End-user\anaconda3\_conda.exe,,0,21,100,0,0,2,2,0,0,0,127,0
2024-10-17 12:35:00,End-user\C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,,1,0,0,0,4,11,1,0,0,0,17,0
2024-10-17 12:35:00,End-user\C:\Windows\System32\cmd.exe,,3,0,0,0,0,0,0,0,0,0,3,0
2024-10-17 12:35:00,End-user\C:\Windows\system32\cmd.exe,,0,0,0,0,0,4,0,0,0,0,4,0
2024-10-17 12:35:00,End-user\C:\Users\End-user\anaconda3\python.exe,,0,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:35:00,End-user\C:\Users\End-user\Downloads\Anaconda3-2024.06-1-Windows-x86_64.exe,,0,2,5,0,0,2,2,0,0,0,12,0
2024-10-17 12:35:00,End-user\C:\Users\End-user\anaconda3\pythonw.exe,,1,0,0,0,0,0,2,0,0,0,4,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\System32\svchost.exe,,2,36,0,0,0,12,3,0,0,0,53,0
2024-10-17 12:35:00,LOCAL SERVICE\C:\Windows\system32\svchost.exe,,0,0,0,0,0,2,0,0,0,0,3,0
2024-10-17 12:35:00,LOCAL SERVICE\C:\Windows\System32\svchost.exe,,0,2,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\system32\svchost.exe,,0,3,0,0,0,25,0,0,0,0,28,0
2024-10-17 12:35:00,NETWORK SERVICE\C:\Windows\System32\wbem\WmiPrvSE.exe,,1,0,0,0,0,0,1,0,0,0,2,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\System32\taskhostw.exe,,0,0,0,0,0,0,8,0,0,0,8,0
2024-10-17 12:35:00,SYSTEM\System,,0,1,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\system32\services.exe,,0,1,0,0,0,10,0,0,0,0,11,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\System32\provtool.exe,,0,0,0,0,0,0,3,0,0,0,3,0
2024-10-17 12:35:00,SYSTEM\C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24080.9-0\MpDefenderCoreService.exe,,0,0,0,0,1,0,0,0,0,0,1,0
2024-10-17 12:35:00,SYSTEM\C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24080.9-0\MpCmdRun.exe,,0,1,0,0,0,0,8,0,0,0,9,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\System32\rundll32.exe,,2,0,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:35:00,LOCAL SERVICE\C:\Windows\System32\sc.exe,,1,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:35:00,End-user\C:\Windows\System32\rundll32.exe,,1,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:35:00,User\C:\Windows\System32\rundll32.exe,,1,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:35:00,End-user\C:\Windows\System32\SecurityHealth\1.0.2402.27001-0\SecurityHealthHost.exe,,0,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:35:00,SYSTEM\C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.24080.9-0\MsMpEng.exe,,0,0,0,0,0,1,0,0,0,0,1,0
2024-10-17 12:35:00,-\C:\Windows\system32\taskhostw.exe,,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe,,0,2,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:35:00,-\C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe,,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe,,0,4,0,0,0,0,1,0,0,0,5,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe,,0,2,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:35:00,-\C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe,,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,,0,4,0,0,0,0,1,0,0,0,5,0
2024-10-17 12:35:00,End-user\C:\Windows\system32\taskhostw.exe,,0,0,1,0,0,0,0,0,0,0,1,0
2024-10-17 12:35:00,SYSTEM\C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe,,0,50,0,0,0,0,0,0,0,0,50,0
2024-10-17 12:35:00,-\C:\Windows\Explorer.EXE,,0,0,0,0,0,0,0,0,0,0,3,0
2024-10-17 12:35:00,-\C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:40:00,End-user\C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,,0,3,1,0,0,33,6,0,0,0,53,0
2024-10-17 12:40:00,-\C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,,0,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:40:00,End-user\C:\Users\End-user\anaconda3\python.exe,,1,0,0,0,6,1,44,0,0,0,81,0
2024-10-17 12:40:00,SYSTEM\C:\Windows\System32\svchost.exe,,0,0,0,0,0,18,1,0,0,0,19,0
2024-10-17 12:40:00,-\C:\Windows\Explorer.EXE,,0,0,0,0,0,0,0,0,0,0,3,0
2024-10-17 12:40:00,End-user\C:\Users\End-user\anaconda3\Scripts\conda.exe,,1,0,0,0,0,0,0,0,0,0,16,0
2024-10-17 12:40:00,End-user\C:\Users\End-user\anaconda3\pythonw.exe,,1,0,0,0,30,3,3,0,0,0,72,0
2024-10-17 12:40:00,SYSTEM\System,,0,2,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:40:00,SYSTEM\C:\Windows\system32\svchost.exe,,0,0,0,0,0,26,0,0,0,0,26,0
2024-10-17 12:40:00,SYSTEM\C:\Windows\System32\taskhostw.exe,,0,0,0,0,0,0,2,0,0,0,2,0
2024-10-17 12:40:00,End-user\C:\Windows\System32\RuntimeBroker.exe,,0,0,0,0,0,0,3,0,0,0,3,0
2024-10-17 12:40:00,End-user\C:\Windows\System32\cmd.exe,,1,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:40:00,End-user\C:\Windows\system32\cmd.exe,,0,0,0,0,0,1,0,0,0,0,1,0
2024-10-17 12:40:00,SYSTEM\C:\Windows\System32\WerFault.exe,,1,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:40:00,End-user\C:\Windows\System32\WerFault.exe,,1,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:40:00,-\C:\Windows\system32\WerFault.exe,,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:40:00,LOCAL SERVICE\C:\Windows\System32\svchost.exe,,1,0,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:40:00,End-user\C:\Windows\system32\WerFault.exe,,0,0,1,0,0,0,0,0,0,0,1,0
2024-10-17 12:40:00,End-user\<unknown process>,,0,0,0,0,0,0,0,0,0,0,1,0
2024-10-17 12:40:00,NETWORK SERVICE\C:\Windows\System32\sppsvc.exe,,0,0,0,0,0,0,1,0,0,0,1,0
2024-10-17 12:40:00,NETWORK SERVICE\C:\Windows\System32\svchost.exe,,0,0,0,0,4,0,0,0,0,0,4,0
2024-10-17 12:40:00,End-user\C:\Windows\system32\svchost.exe,,0,0,0,0,0,0,0,0,0,0,3,0
2024-10-17 12:40:00,End-user\C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,,0,44,15,0,0,0,0,0,0,0,59,0
2024-10-17 12:40:00,End-user\C:\Windows\System32\svchost.exe,,0,0,0,0,0,0,1,0,0,0,1,0
2024-10-17 12:40:00,End-user\C:\Windows\system32\sihost.exe,,0,0,0,0,0,0,0,0,0,0,8,0
2024-10-17 12:40:00,End-user\C:\Windows\Explorer.EXE,,0,0,0,0,0,1,0,0,0,0,1,0
2024-10-17 12:40:00,End-user\C:\Windows\system32\DllHost.exe,,0,0,1,0,0,0,0,0,0,0,1,0
2024-10-17 12:40:00,NETWORK SERVICE\C:\Windows\System32\wbem\WmiPrvSE.exe,,1,0,0,0,0,0,1,0,0,0,2,0
2024-10-17 12:45:00,End-user\C:\Users\End-user\anaconda3\python.exe,,3,829,6,0,54,2,119,0,0,0,1096,0
2024-10-17 12:45:00,End-user\C:\Users\End-user\anaconda3\Scripts\conda.exe,,3,0,0,0,0,0,0,0,0,0,40,0
2024-10-17 12:45:00,End-user\C:\Users\End-user\anaconda3\pythonw.exe,,0,1,0,0,85,1,1,0,0,0,187,0
2024-10-17 12:45:00,End-user\C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,,0,0,1,0,0,0,0,0,0,0,1,0
2024-10-17 12:45:00,-\C:\Windows\Explorer.EXE,,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:45:00,End-user\C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,,0,0,0,0,0,13,0,0,0,0,13,0
2024-10-17 12:45:00,End-user\C:\Windows\System32\cmd.exe,,2,0,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:45:00,End-user\C:\Windows\SYSTEM32\cmd.exe,,0,0,1,0,0,0,0,0,0,0,1,0
2024-10-17 12:45:00,End-user\C:\Windows\system32\cmd.exe,,0,0,0,0,0,1,0,0,0,0,1,0
2024-10-17 12:45:00,End-user\C:\Windows\System32\ipconfig.exe,,2,0,0,0,0,0,0,0,0,0,2,0
2024-10-17 12:45:00,SYSTEM\C:\Windows\System32\svchost.exe,,0,0,0,0,0,12,0,0,0,0,12,0
2024-10-17 12:45:00,SYSTEM\C:\Windows\system32\svchost.exe,,0,2,2,0,0,0,0,0,0,0,4,0
2024-10-17 12:50:00,End-user\C:\Users\End-user\anaconda3\pythonw.exe,,0,0,0,0,0,0,0,0,0,0,57,0
2024-10-17 12:50:00,End-user\C:\Users\End-user\anaconda3\python.exe,,0,0,0,0,0,1,76,0,0,0,133,0
2024-10-17 12:50:00,End-user\C:\Users\End-user\anaconda3\Scripts\conda.exe,,0,0,0,0,0,0,0,0,0,0,19,0
2024-10-17 12:50:00,SYSTEM\C:\Windows\system32\svchost.exe,,0,20,11,0,0,8,0,0,0,0,39,0
2024-10-17 12:50:00,SYSTEM\C:\Windows\System32\svchost.exe,,0,1,0,0,0,18,2,0,0,0,21,0
