timestamp,host,process_name,process_create_count,file_create_count,file_delete_count,file_rename_like,network_connections,registry_events,module_loads,unsigned_process_events,suspicious_extension_events,shadow_copy_events,event_count,label,family,run
2024-10-16 16:40:00,NT AUTHORITY\NETWORK SERVICE,,1,6,0,0,0,5,2,0,0,0,17,0,Goodware,goodware:Goodware
2024-10-16 16:40:00,NT AUTHORITY\LOCAL SERVICE,,16,10,0,0,0,17,1,0,0,0,47,0,Goodware,goodware:Goodware
2024-10-16 16:40:00,NT AUTHORITY\SYSTEM,,14,35,4,0,2,37,19,0,0,0,123,0,Goodware,goodware:Goodware
2024-10-16 16:40:00,-\-,,0,0,0,0,0,0,0,0,0,0,8,0,Goodware,goodware:Goodware
2024-10-16 16:45:00,NT AUTHORITY\SYSTEM,,21,494,4301,0,1,784,44,0,0,0,5653,0,Goodware,goodware:Goodware
2024-10-16 16:45:00,NT AUTHORITY\NETWORK SERVICE,,0,12,0,0,4,0,5,0,0,0,24,0,Goodware,goodware:Goodware
2024-10-16 16:45:00,NT AUTHORITY\LOCAL SERVICE,,3,19,1,0,0,441,4,0,0,0,468,0,Goodware,goodware:Goodware
2024-10-16 16:45:00,-\-,,0,0,0,0,0,0,0,0,0,0,20,0,Goodware,goodware:Goodware
2024-10-16 16:45:00,WINDEV2407EVAL\User,,18,7,28,0,0,22,121,0,0,0,221,0,Goodware,goodware:Goodware
2024-10-16 16:45:00,WINDEV2407EVAL\End-user,,24,11,30,0,3,69,152,4,0,0,336,0,Goodware,goodware:Goodware
2024-10-16 16:50:00,WINDEV2407EVAL\End-user,,20,7852,11,0,46,24,208,12,0,0,8466,0,Goodware,goodware:Goodware
2024-10-16 16:50:00,WINDEV2407EVAL\User,,12,0,1,0,0,13,9,0,0,0,56,0,Goodware,goodware:Goodware
2024-10-16 16:50:00,NT AUTHORITY\SYSTEM,,2,2,2,0,1,5,5,0,0,0,20,0,Goodware,goodware:Goodware
2024-10-16 16:50:00,NT AUTHORITY\LOCAL SERVICE,,3,0,0,0,0,0,0,0,0,0,3,0,Goodware,goodware:Goodware
2024-10-16 16:50:00,-\-,,0,0,0,0,0,0,0,0,0,0,8,0,Goodware,goodware:Goodware
2024-10-16 16:50:00,NT AUTHORITY\NETWORK SERVICE,,2,0,0,0,0,0,4,0,0,0,6,0,Goodware,goodware:Goodware
