timestamp,host,process_name,cpu_percent,memory_mb,disk_write_mb,file_write_count,file_rename_count,network_connections,child_process_count,unsigned_binary,suspicious_extension_changes,entropy_score,shadow_copy_events,label
2026-05-12T09:00:00,host-a,explorer.exe,12,410,8,22,0,18,1,0,0,4.1,0,benign
2026-05-12T09:05:00,host-a,chrome.exe,21,890,15,34,0,46,3,0,0,4.4,0,benign
2026-05-12T09:10:00,host-a,outlook.exe,16,620,10,28,0,19,1,0,0,4.3,0,benign
2026-05-12T09:15:00,host-b,teams.exe,25,980,18,41,1,52,4,0,0,4.5,0,benign
2026-05-12T09:20:00,host-b,onedrive.exe,19,760,24,55,2,17,2,0,0,4.6,0,benign
2026-05-12T09:25:00,host-c,winword.exe,14,540,9,20,0,9,1,0,0,4.1,0,benign
2026-05-12T09:30:00,host-c,excel.exe,17,580,11,24,0,11,1,0,0,4.2,0,benign
2026-05-12T09:35:00,host-d,svchost.exe,22,690,14,38,0,31,2,0,0,4.4,0,benign
2026-05-12T09:40:00,host-d,msedge.exe,28,1020,20,44,1,58,3,0,0,4.6,0,benign
2026-05-12T09:45:00,host-e,zoom.exe,24,940,17,32,0,49,4,0,0,4.5,0,benign
2026-05-12T09:50:00,host-e,slack.exe,18,700,13,27,0,23,2,0,0,4.2,0,benign
2026-05-12T09:55:00,host-f,python.exe,33,840,36,62,3,14,5,1,2,5.0,0,benign
2026-05-12T10:00:00,host-f,backup.exe,31,780,48,75,5,12,3,0,0,5.2,1,benign
2026-05-12T10:05:00,host-g,sqlservr.exe,44,2100,66,95,4,35,6,0,0,5.4,0,benign
2026-05-12T10:10:00,host-g,java.exe,39,1750,58,84,3,28,5,0,0,5.1,0,benign
2026-05-12T10:15:00,host-h,acrobat.exe,13,430,7,19,0,7,1,0,0,4.0,0,benign
2026-05-12T10:20:00,host-h,firefox.exe,23,870,16,36,0,42,3,0,0,4.4,0,benign
2026-05-12T10:25:00,host-i,powershell.exe,36,690,52,88,6,15,7,1,1,5.8,0,benign
2026-05-12T10:30:00,host-i,cmd.exe,27,510,29,49,2,8,4,1,0,5.0,0,benign
2026-05-12T10:35:00,host-j,servicenow-agent.exe,29,660,26,57,1,16,3,0,0,4.8,0,benign
2026-05-12T10:40:00,host-j,defender.exe,41,1120,78,110,7,21,5,0,0,5.5,0,benign
2026-05-12T10:45:00,host-k,backup-agent.exe,34,950,92,140,10,12,4,0,1,5.9,1,benign
2026-05-12T10:50:00,host-k,compression.exe,46,1240,105,160,12,10,6,0,2,6.3,0,benign
2026-05-12T10:55:00,host-l,explorer.exe,15,420,8,21,0,9,1,0,0,4.1,0,benign
2026-05-12T11:00:00,host-l,chrome.exe,22,900,18,39,0,55,3,0,0,4.5,0,benign
2026-05-12T11:05:00,host-m,encryptor.exe,96,1380,410,1820,210,7,14,1,96,8.6,1,suspicious
2026-05-12T11:10:00,host-m,encryptor.exe,98,1420,455,1940,235,6,16,1,104,8.8,1,suspicious
2026-05-12T11:15:00,host-n,powershell.exe,91,980,320,1280,145,9,18,1,62,8.1,1,suspicious
2026-05-12T11:20:00,host-n,powershell.exe,88,930,295,1190,132,10,17,1,57,7.9,1,suspicious
2026-05-12T11:25:00,host-o,miner.exe,97,1560,188,220,8,3,9,1,0,6.9,0,suspicious
2026-05-12T11:30:00,host-o,miner.exe,99,1610,205,240,9,3,10,1,0,7.0,0,suspicious
2026-05-12T11:35:00,host-p,unknown.exe,84,1180,272,980,92,12,11,1,35,7.6,1,suspicious
2026-05-12T11:40:00,host-p,unknown.exe,89,1250,301,1060,108,11,13,1,42,7.8,1,suspicious
2026-05-12T11:45:00,host-q,wscript.exe,79,860,244,760,81,14,8,1,28,7.4,1,suspicious
2026-05-12T11:50:00,host-q,wscript.exe,83,910,266,845,87,15,9,1,33,7.5,1,suspicious
2026-05-12T11:55:00,host-r,backup-killer.exe,72,790,158,340,22,5,6,1,8,6.8,3,suspicious
2026-05-12T12:00:00,host-r,backup-killer.exe,74,810,172,365,24,5,7,1,9,6.9,2,suspicious
2026-05-12T12:05:00,host-s,rclone.exe,58,1040,215,420,18,64,4,0,5,6.2,0,suspicious
2026-05-12T12:10:00,host-s,rclone.exe,61,1100,238,460,21,70,4,0,6,6.4,0,suspicious
2026-05-12T12:15:00,host-t,svchost.exe,66,980,140,540,12,33,5,1,4,6.7,1,suspicious
