timestamp,host,process_name,cpu_percent,memory_mb,disk_write_mb,file_write_count,file_rename_count,network_connections,child_process_count,unsigned_binary,suspicious_extension_changes,entropy_score,shadow_copy_events,label
2026-05-12T09:00:00,host-39,powershell.exe,89,982,0.0,29,75,31,8,1,53,7.5,0,suspicious
2026-05-12T09:05:00,host-26,code.exe,32,421,42.0,38,2,13,4,0,0,4.1,0,benign
2026-05-12T09:10:00,host-14,svchost.exe,64,697,7.2,12,6,58,2,0,0,4.7,0,benign
2026-05-12T09:15:00,host-41,encryptor.exe,94,934,380.9,314,193,42,3,1,87,8.5,1,suspicious
2026-05-12T09:20:00,host-33,powershell.exe,68,617,259.6,59,109,0,7,0,47,7.4,1,suspicious
2026-05-12T09:25:00,host-28,excel.exe,22,262,0.0,8,5,34,3,0,1,4.7,0,benign
2026-05-12T09:30:00,host-13,outlook.exe,18,302,32.2,24,3,42,3,0,1,4.0,0,benign
2026-05-12T09:35:00,host-02,outlook.exe,7,1100,0.0,27,9,21,3,0,1,3.7,0,benign
2026-05-12T09:40:00,host-07,svchost.exe,29,603,0.0,43,0,36,2,0,1,3.7,0,benign
2026-05-12T09:45:00,host-19,chrome.exe,31,1632,0.0,18,0,20,0,0,1,3.4,0,benign
2026-05-12T09:50:00,host-20,outlook.exe,77,1107,0.0,0,4,10,1,0,1,4.9,0,benign
2026-05-12T09:55:00,host-29,outlook.exe,16,873,64.2,45,8,18,0,1,0,5.6,0,benign
2026-05-12T10:00:00,host-07,chrome.exe,32,822,19.0,17,5,19,0,0,1,5.2,0,benign
2026-05-12T10:05:00,host-57,code.exe,29,695,47.7,55,11,35,0,0,4,5.3,0,benign
2026-05-12T10:10:00,host-19,svchost.exe,50,453,36.1,26,3,26,3,0,1,4.7,0,benign
2026-05-12T10:15:00,host-52,encryptor.exe,80,849,329.9,410,100,26,2,1,115,8.6,0,suspicious
2026-05-12T10:20:00,host-30,rclone.exe,50,862,5.8,54,6,356,9,0,1,3.5,0,benign
2026-05-12T10:25:00,host-02,outlook.exe,13,0,15.9,3,0,8,2,0,0,5.6,0,benign
2026-05-12T10:30:00,host-49,powershell.exe,122,349,110.5,144,139,10,7,0,44,6.5,1,suspicious
2026-05-12T10:35:00,host-42,explorer.exe,29,622,31.8,75,4,39,2,0,0,4.5,0,benign
2026-05-12T10:40:00,host-38,teams.exe,32,518,0.0,82,4,42,0,0,2,3.6,0,benign
2026-05-12T10:45:00,host-37,encryptor.exe,89,1099,373.7,477,26,20,3,1,74,7.7,1,suspicious
2026-05-12T10:50:00,host-46,teams.exe,19,869,0.0,28,10,45,5,0,2,5.3,0,benign
2026-05-12T10:55:00,host-22,python.exe,12,1395,0.0,67,2,59,4,0,2,3.4,0,benign
2026-05-12T11:00:00,host-38,powershell.exe,101,891,84.1,49,71,4,5,0,22,7.8,0,suspicious
2026-05-12T11:05:00,host-43,python.exe,32,1708,0.0,19,6,0,5,0,3,4.0,0,benign
2026-05-12T11:10:00,host-49,miner.exe,98,1155,12.8,17,3,90,0,1,4,4.1,0,suspicious
2026-05-12T11:15:00,host-45,chrome.exe,49,1328,41.0,59,15,25,0,0,0,4.4,0,benign
2026-05-12T11:20:00,host-23,excel.exe,11,1120,33.1,50,0,0,2,0,2,4.7,0,benign
2026-05-12T11:25:00,host-28,encryptor.exe,96,1292,407.7,215,169,29,5,0,101,8.3,1,suspicious
2026-05-12T11:30:00,host-58,python.exe,0,0,3.0,66,2,35,4,0,1,5.1,0,benign
2026-05-12T11:35:00,host-48,svchost.exe,9,721,40.1,100,0,40,0,1,1,3.2,0,benign
2026-05-12T11:40:00,host-23,excel.exe,13,1114,15.3,52,5,63,1,0,3,4.1,0,benign
2026-05-12T11:45:00,host-41,code.exe,60,1938,21.7,46,8,9,3,0,2,3.8,0,benign
2026-05-12T11:50:00,host-55,explorer.exe,20,1869,47.6,6,5,20,1,0,2,4.1,0,benign
2026-05-12T11:55:00,host-32,encryptor.exe,92,1773,368.2,370,177,22,1,1,59,8.7,0,suspicious
2026-05-12T12:00:00,host-22,teams.exe,19,1368,0.0,28,0,0,5,0,0,3.4,0,benign
2026-05-12T12:05:00,host-20,rclone.exe,54,604,83.3,0,3,187,3,1,3,5.7,0,suspicious
2026-05-12T12:10:00,host-57,rclone.exe,27,1268,50.4,106,2,282,3,1,7,4.6,0,suspicious
2026-05-12T12:15:00,host-33,svchost.exe,36,631,48.7,0,0,0,0,0,1,4.1,0,benign
2026-05-12T12:20:00,host-14,svchost.exe,37,1093,33.9,50,13,28,1,0,0,3.6,0,benign
2026-05-12T12:25:00,host-32,explorer.exe,31,926,0.9,72,7,26,1,0,1,3.4,1,benign
2026-05-12T12:30:00,host-24,encryptor.exe,92,618,480.3,450,165,32,0,0,76,8.0,1,suspicious
2026-05-12T12:35:00,host-39,teams.exe,29,1706,0.0,49,12,0,0,0,0,4.8,0,benign
2026-05-12T12:40:00,host-05,python.exe,48,586,4.1,59,7,41,0,1,0,4.4,0,benign
2026-05-12T12:45:00,host-44,miner.exe,99,1597,5.8,49,1,61,3,1,2,4.2,0,suspicious
2026-05-12T12:50:00,host-44,code.exe,54,2175,9.9,0,1,23,2,0,2,4.6,0,benign
2026-05-12T12:55:00,host-51,rclone.exe,48,682,52.9,75,0,192,2,1,1,6.7,0,suspicious
2026-05-12T13:00:00,host-18,code.exe,28,1506,11.9,0,3,7,1,0,0,3.3,0,benign
2026-05-12T13:05:00,host-13,powershell.exe,82,486,34.7,179,84,111,10,0,32,7.5,1,suspicious
2026-05-12T13:10:00,host-35,encryptor.exe,87,1008,431.2,480,152,17,4,1,114,7.5,1,suspicious
2026-05-12T13:15:00,host-34,explorer.exe,9,799,47.8,31,0,29,4,0,0,4.6,0,benign
2026-05-12T13:20:00,host-18,explorer.exe,6,894,14.7,0,0,47,1,0,1,5.0,0,benign
2026-05-12T13:25:00,host-20,encryptor.exe,92,1507,257.4,166,207,26,4,1,93,8.5,1,suspicious
2026-05-12T13:30:00,host-14,svchost.exe,43,1494,0.0,0,3,53,6,0,0,3.8,0,benign
2026-05-12T13:35:00,host-37,excel.exe,57,1468,0.0,70,6,41,4,0,2,4.7,0,benign
2026-05-12T13:40:00,host-36,svchost.exe,2,1741,63.2,88,4,64,2,0,0,4.5,0,benign
2026-05-12T13:45:00,host-10,excel.exe,57,1347,20.3,49,3,25,0,0,0,3.5,0,benign
2026-05-12T13:50:00,host-01,powershell.exe,76,999,224.7,192,72,15,4,1,43,8.0,0,suspicious
2026-05-12T13:55:00,host-09,rclone.exe,49,729,31.1,60,2,136,4,1,3,5.3,0,suspicious
2026-05-12T14:00:00,host-25,excel.exe,31,319,0.0,0,3,31,2,0,0,4.5,0,benign
2026-05-12T14:05:00,host-51,miner.exe,95,1142,10.1,49,8,50,6,1,5,4.5,0,suspicious
2026-05-12T14:10:00,host-34,teams.exe,12,1384,11.0,23,8,31,3,0,2,4.6,0,benign
2026-05-12T14:15:00,host-12,explorer.exe,24,942,2.7,69,0,20,1,0,2,3.7,0,benign
2026-05-12T14:20:00,host-53,explorer.exe,25,790,17.4,39,4,54,0,0,0,4.5,0,benign
2026-05-12T14:25:00,host-49,python.exe,10,621,9.8,41,1,56,1,0,2,3.4,0,benign
2026-05-12T14:30:00,host-03,powershell.exe,69,1318,122.0,31,73,8,5,1,46,6.2,0,suspicious
2026-05-12T14:35:00,host-13,miner.exe,94,1712,35.5,0,1,34,2,1,1,5.9,0,suspicious
2026-05-12T14:40:00,host-22,chrome.exe,25,1124,49.1,98,5,45,0,0,3,4.8,0,benign
2026-05-12T14:45:00,host-05,code.exe,30,722,28.4,0,5,0,0,0,2,3.6,0,benign
2026-05-12T14:50:00,host-39,powershell.exe,78,822,269.3,129,30,37,8,0,30,6.1,1,suspicious
2026-05-12T14:55:00,host-37,python.exe,29,1208,0.0,4,9,20,0,0,2,3.4,0,benign
2026-05-12T15:00:00,host-38,miner.exe,99,938,20.0,14,1,86,5,1,4,4.5,0,suspicious
2026-05-12T15:05:00,host-43,excel.exe,40,870,1.8,25,6,30,3,0,0,4.8,1,benign
2026-05-12T15:10:00,host-10,python.exe,0,377,0.0,42,2,22,3,0,2,4.5,0,benign
2026-05-12T15:15:00,host-35,rclone.exe,46,798,112.3,98,6,145,4,1,2,6.0,0,suspicious
2026-05-12T15:20:00,host-36,miner.exe,94,1890,25.5,22,0,34,1,0,0,4.9,0,suspicious
2026-05-12T15:25:00,host-07,powershell.exe,57,1142,152.0,149,75,53,7,1,26,7.8,1,benign
2026-05-12T15:30:00,host-29,code.exe,51,861,15.1,1,2,0,0,0,4,6.0,0,benign
2026-05-12T15:35:00,host-48,excel.exe,33,931,22.8,26,0,0,3,0,0,4.3,0,benign
2026-05-12T15:40:00,host-09,rclone.exe,70,1353,84.7,89,12,259,5,1,4,3.9,0,suspicious
2026-05-12T15:45:00,host-56,powershell.exe,91,1146,118.3,39,60,43,8,1,28,7.1,1,suspicious
2026-05-12T15:50:00,host-25,explorer.exe,21,808,13.2,102,3,24,0,0,0,3.9,0,benign
2026-05-12T15:55:00,host-26,encryptor.exe,90,1215,352.0,300,283,0,0,1,85,8.7,1,suspicious
2026-05-12T16:00:00,host-03,python.exe,28,1381,26.8,20,6,33,2,0,0,3.4,0,benign
2026-05-12T16:05:00,host-15,svchost.exe,7,470,81.4,103,1,21,0,0,1,3.7,0,benign
2026-05-12T16:10:00,host-10,code.exe,32,1109,0.0,70,0,46,2,0,0,4.5,0,benign
2026-05-12T16:15:00,host-49,code.exe,20,1275,68.3,109,0,7,5,0,0,4.0,0,benign
2026-05-12T16:20:00,host-11,miner.exe,95,1148,49.2,26,5,45,2,0,0,3.6,0,suspicious
2026-05-12T16:25:00,host-19,chrome.exe,24,1545,30.3,67,0,43,3,0,2,4.6,0,benign
2026-05-12T16:30:00,host-51,teams.exe,0,943,28.2,12,3,44,3,0,4,3.7,0,benign
2026-05-12T16:35:00,host-30,python.exe,18,0,15.7,0,8,68,0,0,0,3.9,0,benign
2026-05-12T16:40:00,host-38,outlook.exe,43,949,39.9,24,3,27,0,0,2,4.7,0,benign
